CITY,29/12/2013,05/01/2014,12/01/2014,19/01/2014,26/01/2014,02/02/2014,09/02/2014,16/02/2014,23/02/2014,02/03/2014,09/03/2014,16/03/2014,23/03/2014,30/03/2014,06/04/2014,13/04/2014,20/04/2014,27/04/2014,04/05/2014,11/05/2014,18/05/2014,25/05/2014,01/06/2014,08/06/2014,15/06/2014,22/06/2014,29/06/2014,06/07/2014,13/07/2014,20/07/2014,27/07/2014,03/08/2014,10/08/2014,17/08/2014,24/08/2014,31/08/2014,07/09/2014,14/09/2014,21/09/2014,28/09/2014,05/10/2014,12/10/2014,19/10/2014,26/10/2014,02/11/2014,09/11/2014,16/11/2014,23/11/2014,30/11/2014,07/12/2014,14/12/2014,21/12/2014,28/12/2014,04/01/2015,11/01/2015,18/01/2015,25/01/2015,01/02/2015,08/02/2015,15/02/2015,22/02/2015,01/03/2015,08/03/2015,15/03/2015,22/03/2015,29/03/2015,05/04/2015,12/04/2015,19/04/2015,26/04/2015,03/05/2015,10/05/2015,17/05/2015,24/05/2015,31/05/2015,07/06/2015,14/06/2015,21/06/2015,28/06/2015,05/07/2015,12/07/2015,19/07/2015,26/07/2015,02/08/2015,09/08/2015,16/08/2015,23/08/2015,30/08/2015,06/09/2015,13/09/2015,20/09/2015,27/09/2015,04/10/2015,11/10/2015,18/10/2015,25/10/2015,01/11/2015,08/11/2015,15/11/2015,22/11/2015,29/11/2015,06/12/2015,13/12/2015,20/12/2015,27/12/2015,03/01/2016,10/01/2016,17/01/2016,24/01/2016,31/01/2016,07/02/2016,14/02/2016,21/02/2016,28/02/2016,06/03/2016,13/03/2016,20/03/2016,27/03/2016,03/04/2016,10/04/2016,17/04/2016,24/04/2016,01/05/2016,08/05/2016,15/05/2016,22/05/2016,29/05/2016,05/06/2016,12/06/2016,19/06/2016,26/06/2016,03/07/2016,10/07/2016,17/07/2016,24/07/2016,31/07/2016,07/08/2016,14/08/2016,21/08/2016,28/08/2016,04/09/2016,11/09/2016,18/09/2016,25/09/2016,02/10/2016,09/10/2016,16/10/2016,23/10/2016,30/10/2016,06/11/2016,13/11/2016,20/11/2016,27/11/2016,04/12/2016,11/12/2016,18/12/2016,25/12/2016
Federal District,0,45,8,38,13,8,10,0,16,15,0,9,27,37,14,0,17,15,64,88,24,10,5,20,4,12,0,23,26,43,30,0,8,14,0,0,4,42,64,0,0,0,31,0,22,17,30,23,11,0,25,74,14,0,0,0,28,25,0,0,0,0,32,0,23,22,0,0,0,0,13,7,18,2,10,0,3,5,3,3,3,3,6,2,9,0,3,2,5,17,0,5,4,0,0,0,12,16,47,30,49,45,49,23,19,23,27,25,69,71,89,43,40,73,61,55,56,45,39,33,40,31,18,36,34,14,16,15,41,18,30,61,70,17,41,25,22,25,29,22,80,14,39,43,0,27,11,35,15,44,19,19,37,29,46,35,89
State of Acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,70,26,100,0,35,0,64,0,49,69,86,41,39,14,49,32,36,100,36,91,0,18,0,25,58,0,0,0,0,0,0,0,0,39,0,100,0,0,0,0,0,69,0,0,0,0,0,0,54,78,0,0,0,0,0,0,0
State of Alagoas,61,38,14,0,0,29,100,50,0,56,42,64,0,64,49,41,19,0,73,72,77,17,16,100,13,41,0,0,86,69,48,0,0,0,0,0,12,72,0,0,51,22,0,7,0,57,50,74,0,0,0,0,0,0,38,0,0,0,12,100,0,0,0,49,0,0,0,0,0,0,16,15,14,20,58,100,37,59,100,100,100,100,100,100,81,100,100,10,27,100,47,77,38,0,54,42,32,100,65,100,50,54,44,23,16,19,41,33,28,47,43,53,64,63,93,85,65,67,100,91,94,100,54,82,95,100,100,77,79,75,40,62,99,33,69,36,41,36,94,28,100,38,9,45,54,28,21,29,64,57,27,0,24,44,0,0,27
State of Amapá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16,44,57,0,0,18,46,0,17,56,39,26,52,41,16,0,34,16,52,17,59,32,44,24,78,0,22,29,0,0,72,0,100,0,0,0,0,100,100,100,0,0,100,0,73,0,0,0,100,77,0,0,0,0,0,100,0
State of Amazonas,0,0,8,0,0,17,0,27,0,28,24,53,26,71,0,22,11,0,42,42,67,31,10,0,7,0,7,29,0,0,0,0,0,100,100,0,0,0,0,74,0,0,0,0,71,55,0,0,0,0,0,0,0,56,0,0,86,0,0,0,75,0,0,43,0,0,0,0,100,22,8,7,6,0,0,0,8,0,0,0,0,0,0,0,0,9,0,3,0,24,0,26,0,4,0,0,0,25,18,79,30,44,59,21,20,27,7,23,52,34,64,65,79,71,100,71,64,62,82,75,59,53,76,38,100,62,32,72,100,46,75,74,98,20,41,51,68,18,72,9,17,24,0,22,13,27,7,44,18,27,38,13,34,72,22,0,46
State of Bahia,31,62,28,54,71,9,43,58,40,45,28,27,48,98,25,48,10,59,25,88,27,15,9,25,12,8,4,20,36,58,16,8,6,15,16,22,6,35,24,23,25,9,25,1,34,27,0,48,10,39,32,46,14,46,45,74,100,39,6,0,27,11,40,0,12,47,71,34,35,100,56,93,100,100,91,91,100,100,95,52,38,37,48,49,81,41,30,10,21,64,16,30,22,10,31,29,50,25,42,41,32,33,37,27,16,16,26,26,34,35,47,60,72,100,88,65,60,76,63,63,52,47,42,46,46,47,36,33,52,24,24,57,85,23,47,34,30,27,87,17,24,45,29,62,57,22,22,55,24,31,8,10,23,24,49,46,51
State of Ceará,29,27,16,52,22,7,23,33,50,100,10,8,12,30,66,17,28,11,32,49,9,16,7,30,18,36,11,9,68,32,33,54,14,10,22,0,3,32,33,0,35,13,23,2,32,0,11,51,14,36,9,0,17,37,17,34,58,0,0,21,0,12,11,23,68,49,100,0,50,52,17,27,44,63,68,71,63,60,52,26,14,28,29,32,32,28,32,7,8,17,5,12,18,10,24,44,8,25,34,30,30,42,34,20,9,20,24,22,39,47,55,43,61,63,52,56,43,40,56,58,50,30,55,55,44,55,46,53,67,60,59,44,71,35,67,30,15,26,38,21,28,39,31,44,26,30,10,44,33,39,17,12,16,36,70,33,48
State of Espírito Santo,0,52,30,18,19,17,40,0,22,43,0,12,37,49,19,16,0,21,0,0,35,8,8,0,12,19,0,0,41,34,23,46,6,22,0,60,12,66,0,32,24,10,69,3,32,0,0,0,0,0,0,33,0,0,37,0,80,0,0,15,0,12,0,0,31,0,0,47,0,21,11,7,3,9,4,8,4,4,4,3,2,2,3,0,7,0,10,4,0,12,7,0,0,2,14,22,34,45,22,67,100,100,50,34,20,40,44,23,41,35,61,50,59,74,74,47,41,39,41,40,28,29,43,26,22,26,21,18,11,30,28,21,38,11,31,20,19,20,42,10,38,14,20,35,29,30,4,8,5,15,26,7,6,8,25,27,47
State of Goiás,23,13,5,46,31,9,33,0,18,17,0,10,95,43,0,41,0,16,23,48,26,0,0,11,5,14,0,0,12,0,13,25,13,24,25,67,6,18,54,0,13,0,25,0,51,0,12,18,6,40,30,0,10,42,10,39,22,40,0,16,62,0,13,13,0,18,55,27,56,13,2,8,9,7,3,2,7,6,4,3,1,0,8,2,3,7,10,1,10,25,7,10,10,2,0,23,0,9,31,47,33,44,45,21,16,23,31,35,56,59,70,60,67,71,65,79,60,65,53,39,54,31,49,36,39,15,21,23,63,27,29,24,38,22,35,8,12,20,36,20,15,26,29,7,26,13,9,38,20,44,13,15,34,45,36,48,27
State of Maranhão,56,100,12,0,0,13,0,0,51,0,39,28,42,58,44,0,34,0,0,0,35,15,0,31,50,37,46,0,0,0,44,43,11,0,0,0,12,0,0,65,92,20,0,6,63,100,43,0,0,72,0,0,0,100,34,0,0,0,0,0,0,12,45,0,0,0,0,100,0,23,100,100,84,55,100,82,24,42,13,11,3,10,5,6,11,8,8,0,12,20,5,0,0,4,11,18,27,12,26,32,27,42,45,27,11,21,41,6,41,40,48,53,46,61,89,73,57,75,81,77,100,88,100,80,85,62,47,49,55,52,55,62,28,11,0,29,33,29,45,0,42,30,22,37,0,44,39,60,23,67,11,17,18,44,34,12,46
